name,style,score,rating,brewer,abv,link,note,category
Three Philosophers,Quadrupel (Quad),93.0,4.18,Brewery Ommegang,9.7,https://www.beeradvocate.com/beer/profile/42/3457/,"multiple results, guessed best match",Other
Suicide Door,IPA - Imperial,93.0,4.34,Grimm Artisanal Ales,10.0,http://www.beeradvocate.com/search/?q=Suicide+Door&qt=beer,,IPA
Black Chocolate Stout,Stout - Russian Imperial,93.0,4.17,Brooklyn Brewery,10.0,https://www.beeradvocate.com/beer/profile/45/680/,"multiple results, guessed best match",Stout
Allagash White,Wheat Beer - Witbier,93.0,4.18,Allagash Brewing Company,5.2,http://www.beeradvocate.com/search/?q=Allagash+White&qt=beer,,Other
Allagash Tripel,Tripel,93.0,4.16,Allagash Brewing Company,9.0,https://www.beeradvocate.com/beer/profile/4/448/,"multiple results, guessed best match",Other
Racer 5,IPA - American,93.0,4.2,Bear Republic Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/15240/2751/,"multiple results, guessed best match",IPA
Black Ops,Stout - Russian Imperial,93.0,4.17,Brooklyn Brewery,11.6,https://www.beeradvocate.com/beer/profile/45/40149/,"multiple results, guessed best match",Stout
Sixth Glass,Quadrupel (Quad),93.0,4.18,Boulevard Brewing Company,10.2,http://www.beeradvocate.com/search/?q=Sixth+Glass&qt=beer,,Other
Astral Projection,IPA - New England,93.0,4.41,Equilibrium Brewery,9.2,https://www.beeradvocate.com/beer/profile/36949/154550/,"multiple results, guessed best match",IPA
Wrench,IPA - New England,93.0,4.32,Industrial Arts Brewing Company,10.0,https://www.beeradvocate.com/beer/profile/42049/454407/,"multiple results, guessed best match",IPA
Milk Stout Nitro,Stout - Sweet / Milk,93.0,4.17,Left Hand Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/418/115076/,"multiple results, guessed best match",Stout
Telekinesis,Wild Ale,93.0,4.23,Grimm Artisanal Ales,5.2,https://www.beeradvocate.com/beer/profile/32893/156483/,"multiple results, guessed best match",Ale
Bracia,Strong Ale - English,93.0,4.25,Thornbridge Brewery,10.0,https://www.beeradvocate.com/beer/profile/13029/49186/,"multiple results, guessed best match",Ale
Milkshake Ipa,IPA - New England,93.0,4.28,Eagle Park Brewing Company,7.2,https://www.beeradvocate.com/beer/profile/28383/179334/,"multiple results, guessed best match",IPA
Benevolence,Wild Ale,93.0,4.34,Cambridge Brewing Company,13.5,https://www.beeradvocate.com/beer/profile/14/10001/,"multiple results, guessed best match",Ale
Hair Raiser,IPA - New England,93.0,4.2,Exhibit A Brewing Company,8.0,http://www.beeradvocate.com/search/?q=Hair+Raiser&qt=beer,,IPA
Taddy Porter,Porter - English,93.0,4.19,Samuel Smith,5.0,https://www.beeradvocate.com/beer/profile/113/572/,"multiple results, guessed best match",Other
Funk,Wild Ale,93.0,4.21,Duclaw Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/24018/80525/,"multiple results, guessed best match",Ale
Even More Jesus,Stout - American Imperial,93.0,4.41,Evil Twin Brewing,12.0,https://www.beeradvocate.com/beer/profile/24300/333300/,"multiple results, guessed best match",Stout
Oil Of Aphrodite,Stout - American Imperial,93.0,4.2,Jackie O\'s Pub & Brewery,10.0,https://www.beeradvocate.com/beer/profile/1432/61781/,"multiple results, guessed best match",Stout
Double Hop Hop,IPA - New England,93.0,4.27,Aeronaut Brewing Company,7.4,https://www.beeradvocate.com/beer/profile/33510/274342/,"multiple results, guessed best match",IPA
Westmalle Dubbel,Dubbel,93.0,4.2,Westmalle,7.0,http://www.beeradvocate.com/search/?q=Westmalle+Dubbel&qt=beer,,Other
Impact Wrench,IPA - New England,93.0,4.32,Industrial Arts Brewing Company,10.0,http://www.beeradvocate.com/search/?q=Impact+Wrench&qt=beer,,IPA
Ultrasphere,Sour - Fruited Kettle Sour,93.0,4.39,Hudson Valley Brewery,6.0,http://www.beeradvocate.com/search/?q=Ultrasphere&qt=beer,,Other
Prior 8,Dubbel,93.0,4.17,Brouwerij St.bernardus,8.0,https://www.beeradvocate.com/beer/profile/259/1855/,"multiple results, guessed best match",Other
Chimay Grande Reserve,Strong Ale - Belgian Dark,93.0,4.3,Chimay Brewery,10.5,https://www.beeradvocate.com/beer/profile/215/202556/,"multiple results, guessed best match",Ale
Wit,Wheat Beer - Witbier,93.0,4.18,Brouwerij St.bernardus,5.5,https://www.beeradvocate.com/beer/profile/259/7879/,"multiple results, guessed best match",Other
Boskeun,Strong Ale - Belgian Pale,93.0,4.18,Brouwerij De Dolle,10.0,http://www.beeradvocate.com/search/?q=Boskeun&qt=beer,,Ale
Gouden Carolus Tripel,Tripel,93.0,4.16,Brouwerij Het Anker,9.0,http://www.beeradvocate.com/search/?q=Brouwerij+Het+Anker+Gouden+Carolus+Tripel&qt=beer,,Other
Weissbier Hell,Wheat Beer - Hefeweizen,93.0,4.18,Andechs,5.5,http://www.beeradvocate.com/search/?q=Andechs+Weissbier+Hell&qt=beer,,Other
Avec Les Bons Voeux,Farmhouse Ale - Saison,93.0,4.18,Brasserie Dupont,9.5,https://www.beeradvocate.com/beer/profile/637/1716/,"multiple results, guessed best match",Ale
Rochefort 6,Dubbel,93.0,4.17,Brasserie De Rochefort,7.5,https://www.beeradvocate.com/beer/profile/207/3842/,"multiple results, guessed best match",Other
Everything Is Everything,IPA - Imperial,93.0,4.27,Honest Weight Artisan Beer,10.5,https://www.beeradvocate.com/beer/profile/26817/225220/,"multiple results, guessed best match",IPA
Zoe,Red Ale - American Amber / Red,93.0,4.2,Maine Beer Company,7.2,https://www.beeradvocate.com/beer/profile/20681/54522/,"multiple results, guessed best match",Ale
Instant Credibility,IPA - New England,93.0,4.34,Greenpoint Beer & Ale Company,7.5,https://www.beeradvocate.com/beer/profile/34104/212361/,"multiple results, guessed best match",IPA
Evil,Porter - Imperial,93.0,4.19,Odd By Nature Brewing,11.5,https://www.beeradvocate.com/beer/profile/24300/84140/,"multiple results, guessed best match",Other
Complicated Being A Wizard,IPA - New England,92.0,4.13,Burlington Beer Company,8.0,http://www.beeradvocate.com/search/?q=Complicated+Being+A+Wizard&qt=beer,,IPA
Uncanny Valley,IPA - New England,92.0,4.16,Burlington Beer Company,7.0,https://www.beeradvocate.com/beer/profile/33136/251024/,"multiple results, guessed best match",IPA
Elaborate Metaphor,Pale Ale - American,92.0,4.15,Burlington Beer Company,5.4,http://www.beeradvocate.com/search/?q=Elaborate+Metaphor&qt=beer,,Ale
Framinghammer,Porter - Baltic,92.0,4.16,Jack\'s Abby Craft Lagers,10.0,https://www.beeradvocate.com/beer/profile/26520/77500/,"multiple results, guessed best match",Other
Barn Beer,Wild Ale,92.0,4.18,Plan Bee Farm Brewery,5.5,https://www.beeradvocate.com/beer/profile/33607/220109/,"multiple results, guessed best match",Ale
Creatures Of Magic,IPA - New England,92.0,4.2,Burlington Beer Company,6.5,http://www.beeradvocate.com/search/?q=Creatures+Of+Magic&qt=beer,,IPA
Amour,Wild Ale,92.0,4.26,Plan Bee Farm Brewery,5.0,https://www.beeradvocate.com/beer/profile/33607/128722/,"multiple results, guessed best match",Ale
Petrus Aged Pale,Wild Ale,92.0,4.12,Brabandere,7.3,https://www.beeradvocate.com/beer/profile/718/2184/,"multiple results, guessed best match",Ale
Cuvee Rene,Lambic - Fruit,92.0,4.17,Brouwerij Lindemans,7.0,https://www.beeradvocate.com/beer/profile/187/42679/,"multiple results, guessed best match",Sour
R&r,IPA - New England,92.0,4.26,Magnify Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/40579/246360/,"multiple results, guessed best match",IPA
Pulp Daddy,IPA - New England,92.0,4.2,Greater Good Imperial Brewing Company,8.0,https://www.beeradvocate.com/beer/profile/46086/344066/,"multiple results, guessed best match",IPA
Visible Spectrum,IPA - American,92.0,4.16,Finback Brewery,6.2,https://www.beeradvocate.com/beer/profile/33901/234128/,"multiple results, guessed best match",IPA
Triple Maiden,IPA - Imperial,92.0,4.31,Foley Brothers Brewing,10.0,http://www.beeradvocate.com/search/?q=Triple+Maiden&qt=beer,,IPA
Boysen Rebus,Wild Ale,92.0,4.33,Grimm Artisanal Ales,5.7,http://www.beeradvocate.com/search/?q=Boysen+Rebus&qt=beer,,Ale
Beer Geek Breakfast,Stout - Oatmeal,92.0,4.13,Mikkeller Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/13307/28877/,"multiple results, guessed best match",Stout
Robust Porter,Porter - Robust,92.0,4.15,Smuttynose Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/141/622/,"multiple results, guessed best match",Other
Codename:superfan,IPA - American,92.0,4.17,Odd 13 Brewing,6.5,https://www.beeradvocate.com/beer/profile/32514/209984/,"multiple results, guessed best match",IPA
Cherry Gose,Sour - Gose,92.0,4.25,Anderson Valley Brewing Company,5.4,https://www.beeradvocate.com/beer/profile/31540/186051/,"multiple results, guessed best match",Sour
Skull Splitter,Scotch Ale / Wee Heavy,92.0,4.11,Orkney Brewery,8.5,https://www.beeradvocate.com/beer/profile/118/402/,"multiple results, guessed best match",Ale
Alpha Klaus,Porter - Imperial,92.0,4.23,3 Floyds Brewing Company,10.0,https://www.beeradvocate.com/beer/profile/26/40508/,"multiple results, guessed best match",Other
Five,Wild Ale,92.0,4.12,St Feullien Brewery,7.5,https://www.beeradvocate.com/beer/profile/13014/72373/,"multiple results, guessed best match",Ale
Jammy Pants,Sour - Fruited Kettle Sour,92.0,4.27,Great Notion Brewing And Barrel House,7.0,https://www.beeradvocate.com/beer/profile/41869/407124/,"multiple results, guessed best match",Other
Little Sip,IPA - American,92.0,4.17,Lawson\'s Finest Liquids,6.2,http://www.beeradvocate.com/search/?q=Little+Sip&qt=beer,,IPA
Aecht Schlenkerla Eiche,Lager - Rauchbier,92.0,4.12,Schlenkerla,8.0,https://www.beeradvocate.com/beer/profile/263/54731/,"multiple results, guessed best match",Lager
Boulevard Whiskey Stout,Stout - American Imperial,92.0,4.14,Boulevard Brewing Company,11.8,https://www.beeradvocate.com/beer/profile/423/204164/,"multiple results, guessed best match",Stout
Gyroscope,Fruit and Field Beer,92.0,4.33,Urban Artifact Brewing,7.5,https://www.beeradvocate.com/beer/profile/40297/343921/,"multiple results, guessed best match",Other
Six Grain,Stout - Sweet / Milk,92.0,4.21,Austin Street Brewery,6.7,https://www.beeradvocate.com/beer/profile/34657/147783/,"multiple results, guessed best match",Stout
The Jolly Woodsman,Stout - American,92.0,4.19,Banded Brewing,7.5,http://www.beeradvocate.com/search/?q=The+Jolly+Woodsman&qt=beer,,Stout
Greenstone,Pale Ale - American,92.0,4.2,Old Nation Brewing Company,5.5,https://www.beeradvocate.com/beer/profile/41783/268693/,"multiple results, guessed best match",Ale
Schlenkerla Rauchbier,Lager - Rauchbier,92.0,4.13,Schlenkerla,5.4,https://www.beeradvocate.com/beer/profile/263/727/,"multiple results, guessed best match",Lager
Flying Seahorses,IPA - New England,92.0,4.26,Toppling Goliath Brewing Company,7.8,https://www.beeradvocate.com/beer/profile/23222/567524/,"multiple results, guessed best match",IPA
Dolphin Sparkles,IPA - Imperial,92.0,4.19,Toppling Goliath Brewing Company,7.3,http://www.beeradvocate.com/search/?q=Dolphin+Sparkles&qt=beer,,IPA
Velvet Rush,Brown Ale - American,92.0,4.19,Founders Brewing Company,11.1,http://www.beeradvocate.com/search/?q=Velvet+Rush&qt=beer,,Ale
Kriek Brut,Wild Ale,92.0,4.13,Liefmans Brewery,6.0,https://www.beeradvocate.com/beer/profile/283/56130/,"multiple results, guessed best match",Ale
Yeti,Stout - American Imperial,92.0,4.11,Great Divide Brewing Company,9.5,https://www.beeradvocate.com/beer/profile/158/70155/,"multiple results, guessed best match",Stout
First Drop,Pale Ale - American,92.0,4.13,Upper Pass Beer Company,5.9,https://www.beeradvocate.com/beer/profile/46275/239177/,"multiple results, guessed best match",Ale
Behind The Light,IPA - New England,91.0,4.24,Definitive Brewing Company,7.4,http://www.beeradvocate.com/search/?q=Behind+The+Light&qt=beer,,IPA
Provenance,Farmhouse Ale - Saison,91.0,4.46,Jester King Brewery,6.0,https://www.beeradvocate.com/beer/profile/24018/177744/,"multiple results, guessed best match",Ale
Farmhouse Pale Ale,Farmhouse Ale - Saison,91.0,4.07,Idle Hands Craft Ales,6.0,https://www.beeradvocate.com/beer/profile/26439/72219/,"multiple results, guessed best match",Ale
Superhero Sidekicks,IPA - New England,91.0,4.13,Kings County Brewers Collective,6.9,http://www.beeradvocate.com/search/?q=Superhero+Sidekicks&qt=beer,,IPA
Patina Pale Ale,Pale Ale - American,91.0,4.13,Austin Street Brewery,5.3,https://www.beeradvocate.com/beer/profile/34657/120997/,"multiple results, guessed best match",Ale
Woods & Waters,IPA - American,91.0,4.1,Maine Beer Company,6.2,https://www.beeradvocate.com/beer/profile/20681/250469/,"multiple results, guessed best match",IPA
Fruitful,IPA - Imperial,91.0,4.29,Orono Brewing Company,7.6,https://www.beeradvocate.com/beer/profile/29922/246340/,"multiple results, guessed best match",IPA
Lustra,IPA - New England,91.0,4.15,Dancing Gnome Brewing Company,5.8,https://www.beeradvocate.com/beer/profile/47223/251230/,"multiple results, guessed best match",IPA
