name,score,brewer,abv,link,note
Petite Sour Peach,90.0,Crooked Stave Artisan Beer Project,4.5,http://www.beeradvocate.com/search/?q=Petite+Sour+Peach&qt=beer,
Brite,90.0,The Bruery,7.1,https://www.beeradvocate.com/beer/profile/25959/131535/,"multiple results, guessed best match"
Extended Jam,90.0,Destihl Brewery,6.8,http://www.beeradvocate.com/search/?q=Extended+Jam&qt=beer,
Cellar Door,90.0,Stillwater Artisanal,6.6,https://www.beeradvocate.com/beer/profile/22150/58523/,"multiple results, guessed best match"
Bretta Blanc,90.0,Firestone Walker Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/2210/304318/,"multiple results, guessed best match"
Festina Lente,90.0,Dogfish Head Craft Brewery,7.0,https://www.beeradvocate.com/beer/profile/64/13722/,"multiple results, guessed best match"
Prairie Noir,90.0,Prairie Artisan Ales,11.0,https://www.beeradvocate.com/beer/profile/30356/95382/,"multiple results, guessed best match"
Dieu-le-veut,90.0,Rising Tide Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/1141/18272/,"multiple results, guessed best match"
Kapuziner Weissbier,90.0,Kulmbacher Brauerei,5.4,https://www.beeradvocate.com/beer/profile/412/1229/,"multiple results, guessed best match"
Post Ride Snack,90.0,Maine Beer Company,4.9,http://www.beeradvocate.com/search/?q=Post+Ride+Snack&qt=beer,
Jess,90.0,Amherst Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/225/170814/,"multiple results, guessed best match"
Goody Two Shoes,90.0,Exhibit A Brewing Company,4.5,http://www.beeradvocate.com/search/?q=Goody+Two+Shoes&qt=beer,
Pomme,90.0,Brouwerij Lindemans,7.1,https://www.beeradvocate.com/beer/profile/40927/267259/,"multiple results, guessed best match"
Samoan Drop,90.0,Banded Brewing,8.4,http://www.beeradvocate.com/search/?q=Samoan+Drop&qt=beer,
Cascade Strawberry,90.0,Cascade Brewing Company,7.39,https://www.beeradvocate.com/beer/profile/2391/81761/,"multiple results, guessed best match"
Strawberry,90.0,Brouwerij Lindemans,7.39,https://www.beeradvocate.com/beer/profile/2391/81761/,"multiple results, guessed best match"
