abv,brewer,link,name,note,score,style,category
5.0,Samuel Smith Old Brewery,https://www.beeradvocate.com/beer/profile/113/572/,Taddy Porter,"multiple results, guessed best match",93.0,English Porter,Other
8.5,Brouwerij Huyghe,http://www.beeradvocate.com/search/?q=Delirium+Tremens&qt=beer,Delirium Tremens,,93.0,Belgian Strong Pale Ale,Ale
8.0,Brouwerij Liefmans,https://www.beeradvocate.com/beer/profile/283/773/,Goudenband,"multiple results, guessed best match",93.0,Flanders Oud Bruin,Other
5.1,Brauerei Ayinger,http://www.beeradvocate.com/search/?q=Brauweisse&qt=beer,Brauweisse,,93.0,German Hefeweizen,Other
5.0,Drie Fonteinen,https://www.beeradvocate.com/beer/profile/2216/92640/,Fonteinen Oude Kriek,"multiple results, guessed best match",93.0,Belgian Fruit Lambic,Sour
8.1,Brouwerij Corsendonk,http://www.beeradvocate.com/search/?q=Corsendonk+Christmas&qt=beer,Corsendonk Christmas,,93.0,Belgian Strong Dark Ale,Ale
5.5,Brouwerij St Bernardus,https://www.beeradvocate.com/beer/profile/259/7879/,Wit,"multiple results, guessed best match",93.0,Belgian Witbier,Other
6.0,Harviestoun Brewery,https://www.beeradvocate.com/beer/profile/323/875/,Old Engine Oil,"multiple results, guessed best match",92.0,English Porter,Other
8.0,Brouwerij Achelse,https://www.beeradvocate.com/beer/profile/922/8045/,Achel Bruin,"multiple results, guessed best match",92.0,Belgian Dubbel,Other
6.9,Kings Country Brewers Collective,http://www.beeradvocate.com/search/?q=Superhero+Sidekicks&qt=beer,Superhero Sidekicks,,92.0,New England IPA,IPA
6.0,Birds Fly South Ale Project,http://www.beeradvocate.com/search/?q=Paper+Airplanes&qt=beer,Paper Airplanes,,92.0,American Wild Ale,Ale
8.5,Orkney Brewery,https://www.beeradvocate.com/beer/profile/118/402/,Skull Splitter,"multiple results, guessed best match",92.0,Scotch Ale / Wee Heavy,Ale
7.3,De Brabandere,https://www.beeradvocate.com/beer/profile/718/2184/,Petrus Aged Pale,"multiple results, guessed best match",92.0,Belgian Pale Ale,Ale
8.0,Burlington Beer Company,http://www.beeradvocate.com/search/?q=Ancient+Power&qt=beer,Ancient Power,,92.0,American Imperial Stout,Stout
5.7,Grimm Artisanal Ales,http://www.beeradvocate.com/search/?q=Plink&qt=beer,Plink,,92.0,American Wild Ale,Ale
5.0,Samuel Smith Old Brewery,https://www.beeradvocate.com/beer/profile/113/576/,Nut Brown,"multiple results, guessed best match",92.0,English Brown Ale,Ale
9.8,Troegs Brewing Company,https://www.beeradvocate.com/beer/profile/694/146366/,Impending Descent,"multiple results, guessed best match",92.0,Russian Imperial Stout,Stout
7.0,Burlington Beer Company,http://www.beeradvocate.com/search/?q=Uncanny+Valley&qt=beer,Uncanny Valley,,92.0,New England IPA,IPA
6.8,Lamplighter Brewing Company,https://www.beeradvocate.com/beer/profile/43127/272261/,Birds Of A Feather,"multiple results, guessed best match",92.0,New England IPA,IPA
8.0,Jolly Pumpkin Artisan Ales,https://www.beeradvocate.com/beer/profile/9897/18975/,Oro De Calabaza,"multiple results, guessed best match",92.0,French Bi\xc3\xa8re de Garde,Other
7.5,Prairie Artisan Ales,https://www.beeradvocate.com/beer/profile/30356/91331/,'merica,"multiple results, guessed best match",92.0,Belgian Saison,Other
9.2,Founders Brewing Company,https://www.beeradvocate.com/beer/profile/1199/349106/,4 Giants,"multiple results, guessed best match",92.0,American Imperial IPA,IPA
6.7,Beer'd Brewing Company,https://www.beeradvocate.com/beer/profile/30321/118506/,8 Days A Week,"multiple results, guessed best match",92.0,American Pale Ale (APA),Ale
13.0,Stillwater Artisanal,https://www.beeradvocate.com/beer/profile/22150/212159/,On Fleek,"multiple results, guessed best match",92.0,American Imperial Stout,Stout
10.0,Founders Brewing Company,https://www.beeradvocate.com/beer/profile/1199/401036/,Mas Agave,"multiple results, guessed best match",92.0,Leipzig Gose,Sour
5.5,Crooked Stave Artisan Beer Project,https://www.beeradvocate.com/beer/profile/25191/165762/,Petite Sour Raspberry,"multiple results, guessed best match",92.0,American Wild Ale,Ale
8.0,Burlington Beer Company,http://www.beeradvocate.com/search/?q=Prismatic+Lazer&qt=beer,Prismatic Lazer,,92.0,American Imperial Stout,Stout
8.0,Jolly Pumpkin Artisan Ales,http://www.beeradvocate.com/search/?q=La+Roja+Grand+Reserve&qt=beer,La Roja Grand Reserve,,92.0,Flanders Red Ale,Ale
8.0,Allagash Brewing Company,https://www.beeradvocate.com/beer/profile/4/146790/,Saison,"multiple results, guessed best match",92.0,Belgian Saison,Other
10.0,De Dolle Brouwerij,http://www.beeradvocate.com/search/?q=Boskeun&qt=beer,Boskeun,,92.0,Belgian Strong Pale Ale,Ale
9.2,Allagash Brewing Company,https://www.beeradvocate.com/beer/profile/4/48279/,Black,"multiple results, guessed best match",92.0,Belgian Strong Dark Ale,Ale
5.8,Brauerei Ayinger,https://www.beeradvocate.com/beer/profile/39/135/,Ur Weisse,"multiple results, guessed best match",92.0,German Dunkelweizen,Other
4.5,Night Shift Brewing Company,https://www.beeradvocate.com/beer/profile/28609/114884/,Whirlpool,"multiple results, guessed best match",92.0,American Pale Ale (APA),Ale
9.2,Kulmbacher Brauerei,https://www.beeradvocate.com/beer/profile/412/11582/,Eisbock,"multiple results, guessed best match",92.0,German Eisbock,Other
7.0,Oxbow Brewing Company,http://www.beeradvocate.com/search/?q=Momoko&qt=beer,Momoko,,92.0,Fruit and Field Beer,Other
5.5,Kiuchi Brewery,http://www.beeradvocate.com/search/?q=Hitachino+Nest+White&qt=beer,Hitachino Nest White,,91.0,Belgian Witbier,Other
6.0,Dogfish Head Craft Brewery,https://www.beeradvocate.com/beer/profile/64/6108/,60 Minute Ipa,"multiple results, guessed best match",91.0,American IPA,IPA
7.0,Gueuzerie Tilquin,https://www.beeradvocate.com/beer/profile/25923/102760/,Stout Rullquin,"multiple results, guessed best match",91.0,American Wild Ale,Ale
6.5,Brewery Ommegang,https://www.beeradvocate.com/beer/profile/42/593/,Rare Vos,"multiple results, guessed best match",91.0,Belgian Pale Ale,Ale
5.2,Prairie Artisan Ales,https://www.beeradvocate.com/beer/profile/30356/417624/,Rainbow Sherbet,"multiple results, guessed best match",91.0,American Wild Ale,Ale
6.0,Oxbow Brewing Company,https://www.beeradvocate.com/beer/profile/26439/72219/,Farmhouse Pale Ale,"multiple results, guessed best match",91.0,Belgian Saison,Other
6.0,Idle Hands Craft Ales,https://www.beeradvocate.com/beer/profile/26439/72219/,Farmhouse Pale Ale,"multiple results, guessed best match",91.0,Belgian Saison,Other
5.6,Brewery Ommegang,https://www.beeradvocate.com/beer/profile/42/188719/,Rosetta,"multiple results, guessed best match",91.0,Flanders Oud Bruin,Other
9.1,Beer'd Brewing Company,https://www.beeradvocate.com/beer/profile/30321/194614/,Frank & Berry,"multiple results, guessed best match",91.0,American Imperial IPA,IPA
5.9,Urban Artifact Brewing,https://www.beeradvocate.com/beer/profile/27400/100418/,Astrolabe,"multiple results, guessed best match",91.0,American Wild Ale,Ale
4.3,Timothy Taylor & Company,https://www.beeradvocate.com/beer/profile/2150/5560/,Landlord,"multiple results, guessed best match",91.0,English Pale Ale,Ale
8.5,Stone Brewing Company,https://www.beeradvocate.com/beer/profile/147/334028/,Fear Movie Lions,"multiple results, guessed best match",91.0,New England IPA,IPA
8.0,Ten Bends Beer,http://www.beeradvocate.com/search/?q=Northern+Heights&qt=beer,Northern Heights,,91.0,New England IPA,IPA
8.4,Fore River Brewing Company,https://www.beeradvocate.com/beer/profile/44641/276045/,Estuary,"multiple results, guessed best match",91.0,American Imperial IPA,IPA
5.2,Night Shift Brewing Company,http://www.beeradvocate.com/search/?q=Briar+Weisse&qt=beer,Briar Weisse,,91.0,Berliner Weisse,Sour
6.8,Aeronaut Brewing Company,https://www.beeradvocate.com/beer/profile/34607/372936/,Hyperfocus,"multiple results, guessed best match",91.0,New England IPA,IPA
6.8,Sloop Brewing Company,http://www.beeradvocate.com/search/?q=Not+In+My+Dojo&qt=beer,Not In My Dojo,,91.0,New England IPA,IPA
4.5,Crooked Stave Artisan Beer Project,https://www.beeradvocate.com/beer/profile/25191/248811/,Sour Rose,"multiple results, guessed best match",91.0,American Wild Ale,Ale
9.0,Clown Shoes Beer,https://www.beeradvocate.com/beer/profile/22951/113602/,Space Cake,"multiple results, guessed best match",91.0,American Imperial IPA,IPA
8.0,Frost Beer Works,https://www.beeradvocate.com/beer/profile/39297/212772/,Research Series Ipa,"multiple results, guessed best match",91.0,American Imperial IPA,IPA
7.0,Goose Island Beer Company,https://www.beeradvocate.com/beer/profile/1146/4318/,Matilda,"multiple results, guessed best match",91.0,Belgian Strong Pale Ale,Ale
