name,style,score,brewer,abv,link,note,category
Original Munich Lager,German Helles,85.0,Paulaner Munchen,4.9,http://www.beeradvocate.com/search/?q=Original+Munich+Lager&qt=beer,,Other
Pilsner,American Lager,85.0,Brauerei Weihenstephan,5.4,https://www.beeradvocate.com/beer/profile/22512/369716/,"multiple results, guessed best match",Lager
Sam Adams Boston Lager,Vienna Lager,85.0,Boston Beer Company,5.0,https://www.beeradvocate.com/beer/profile/35/104/,"multiple results, guessed best match",Lager
Harpoon Ipa,American Brown Ale,85.0,Harpoon Brewery,5.7,https://www.beeradvocate.com/beer/profile/98/112645/,"multiple results, guessed best match",Ale
Sunshine Pils,German Pilsner,85.0,Troegs Brewing Company,4.5,https://www.beeradvocate.com/beer/profile/694/4108/,"multiple results, guessed best match",Other
Innis & Gunn Original,Scottish Ale,85.0,Innis & Gunn,6.6,https://www.beeradvocate.com/beer/profile/10272/12719/,"multiple results, guessed best match",Ale
Petrus Aged Red,Flanders Oud Bruin,85.0,Brouwerij De Brabandere,8.5,http://www.beeradvocate.com/search/?q=Petrus+Aged+Red&qt=beer,,Other
Light Hearted,American IPA,85.0,Bell\'s Brewery,3.7,https://www.beeradvocate.com/beer/profile/287/431595/,"multiple results, guessed best match",IPA
Petrus Aged Red,Flanders Oud Bruin,85.0,De Brabandere,8.5,http://www.beeradvocate.com/search/?q=Petrus+Aged+Red&qt=beer,,Other
Peche,Belgian Fruit Lambic,85.0,Brouwerij Lindemans,2.5,https://www.beeradvocate.com/beer/profile/187/21382/,"multiple results, guessed best match",Sour
Golden Monkey,Belgian Tripel,85.0,Victory Brewing Company,9.5,https://www.beeradvocate.com/beer/profile/345/1003/,"multiple results, guessed best match",Other
Flummox,German Pilsner,85.0,Proclamation Ale Company,5.0,http://www.beeradvocate.com/search/?q=Flummox&qt=beer,,Other
Fat Tire Belgian White,Belgian Witbier,84.0,New Belgium Brewing Company,5.2,http://www.beeradvocate.com/search/?q=Fat+Tire+Belgian+White&qt=beer,,Other
Kloster Anno 1050,German M\xc3\xa4rzen / Oktoberfest,84.0,Klosterbrauerei Weltenburg,5.5,http://www.beeradvocate.com/search/?q=Kloster+Anno+1050&qt=beer,,Other
Hitachino Red Rice,Belgian Strong Pale Ale,84.0,Kiuchi Brewery,7.0,https://www.beeradvocate.com/beer/profile/697/4770/,"multiple results, guessed best match",Ale
Substrate,German Schwarzbier,84.0,Kent Falls Brewing Company,5.0,http://www.beeradvocate.com/search/?q=Substrate&qt=beer,,Other
Mountain Ale,English Strong Ale,84.0,The Shed Brewery,7.4,https://www.beeradvocate.com/beer/profile/28980/81048/,"multiple results, guessed best match",Ale
Roadie Grapefruit Radler,Fruit and Field Beer,84.0,Great Divide Brewing Company,4.2,http://www.beeradvocate.com/search/?q=Roadie+Grapefruit+Radler&qt=beer,,Other
Bitter & Twisted,English Pale Ale,84.0,Harviestoun Brewery,4.2,https://www.beeradvocate.com/beer/profile/323/4720/,"multiple results, guessed best match",Ale
Switchback Ale,American Amber / Red Ale,84.0,Switchback Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/5316/8854/,"multiple results, guessed best match",Ale
Lager,American Amber / Red Lager,84.0,Firestone Walker Brewing Company,5.2,https://www.beeradvocate.com/beer/profile/45/148/,"multiple results, guessed best match",Lager
Benediktiner Original,German Helles,84.0,Ettaler Kolsterbrauerei,5.0,http://www.beeradvocate.com/search/?q=Benediktiner+Original&qt=beer,,Other
Apollo Sunshine,German Pilsner,84.0,Lamplighter Brewing Company,4.9,http://www.beeradvocate.com/search/?q=Apollo+Sunshine&qt=beer,,Other
No Limits Hefeweizen,German Hefeweizen,84.0,Two Roads Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/30437/94390/,"multiple results, guessed best match",Other
Rec. League,American Pale Ale (APA),84.0,Harpoon Brewery,3.8,http://www.beeradvocate.com/search/?q=Rec.+League&qt=beer,,Ale
Remain In Light,American Lager,84.0,Cambridge Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/14/107024/,"multiple results, guessed best match",Lager
Ishmael,German Altbier,84.0,Rising Tide Brewing Company,4.9,https://www.beeradvocate.com/beer/profile/23639/61873/,"multiple results, guessed best match",Other
Contee,German K\xc3\xb6lsch,84.0,Definitive Brewing Company,4.6,http://www.beeradvocate.com/search/?q=Contee&qt=beer,,Other
Pepperell Pils,German Pilsner,84.0,Banded Brewing,4.6,http://www.beeradvocate.com/search/?q=Pepperell+Pils&qt=beer,,Other
Crafty Radler,Fruit and Field Beer,84.0,Pump House Brewery,4.7,https://www.beeradvocate.com/beer/profile/7008/237671/,"multiple results, guessed best match",Other
Fruittanomyces,Belgian Witbier,84.0,Brewery Ommegang,5.3,http://www.beeradvocate.com/search/?q=Fruittanomyces&qt=beer,,Other
Samuel Adams Brick Red,Irish Red Ale,84.0,Boston Beer Company,5.2,https://www.beeradvocate.com/beer/profile/35/48246/,"multiple results, guessed best match",Ale
Cherry Chouffe,Fruit and Field Beer,84.0,Chouffe,8.0,http://www.beeradvocate.com/search/?q=Cherry+Chouffe&qt=beer,,Other
Boon Kriek,Belgian Fruit Lambic,83.0,Brouwerij Boon,5.0,https://www.beeradvocate.com/beer/profile/47/2426/,"multiple results, guessed best match",Sour
India Ale,English India Pale Ale (IPA),83.0,Samuel Smith Old Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/573/,"multiple results, guessed best match",IPA
Delirium Red,Fruit and Field Beer,83.0,Brouwerij Huyghe,8.0,http://www.beeradvocate.com/search/?q=Delirium+Red&qt=beer,,Other
Shipping Out Of Boston,American Amber / Red Lager,83.0,Jack\'s Abby Craft Lagers,5.3,https://www.beeradvocate.com/beer/profile/26520/461807/,"multiple results, guessed best match",Lager
Summer Rays,Belgian Witbier,83.0,Cisco Brewers,5.3,http://www.beeradvocate.com/search/?q=Summer+Rays&qt=beer,,Other
Spinnaker,German Hefeweizen,83.0,Rising Tide Brewing Company,4.5,https://www.beeradvocate.com/beer/profile/23639/92766/,"multiple results, guessed best match",Other
Session Lager,American Lager,83.0,Full Sail Brewing Company,5.1,https://www.beeradvocate.com/beer/profile/5316/23713/,"multiple results, guessed best match",Lager
Turbodog,English Brown Ale,83.0,Abita Brewing Company,5.6,https://www.beeradvocate.com/beer/profile/3/6/,"multiple results, guessed best match",Ale
Clementine,Belgian Witbier,83.0,Clown Shoes Beer,6.0,https://www.beeradvocate.com/beer/profile/22951/58609/,"multiple results, guessed best match",Other
Seavey Island,American Blonde Ale,83.0,Mast Landing Brewing Company,4.7,http://www.beeradvocate.com/search/?q=Seavey+Island&qt=beer,,Ale
Hefe Weiss,German Hefeweizen,83.0,Hofbrauhaus Freising,4.2,https://www.beeradvocate.com/beer/profile/144/802/,"multiple results, guessed best match",Other
Flensburger Weizen,German Hefeweizen,83.0,Flensburger Brauerei,5.1,http://www.beeradvocate.com/search/?q=Flensburger+Weizen&qt=beer,,Other
Gaffel Kolsch,German K\xc3\xb6lsch,83.0,Gaffel Brewery,4.8,https://www.beeradvocate.com/beer/profile/1536/4137/,"multiple results, guessed best match",Other
Brown Ale,American Brown Ale,83.0,Newburgh Brewing Company,5.6,https://www.beeradvocate.com/beer/profile/45/146/,"multiple results, guessed best match",Ale
Sour,American Wild Ale,83.0,Crooked Stave Artisan Beer Project,4.5,https://www.beeradvocate.com/beer/profile/25191/71627/,"multiple results, guessed best match",Ale
Weissenheimer Hefe,German Hefeweizen,83.0,Destihl Brewery,5.2,http://www.beeradvocate.com/search/?q=Weissenheimer+Hefe&qt=beer,,Other
Old Man Ale,English Brown Ale,83.0,Coniston Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/298/12547/,"multiple results, guessed best match",Ale
Plum Island,Belgian Witbier,83.0,Newburyport Brewing Company,5.4,https://www.beeradvocate.com/beer/profile/31441/92916/,"multiple results, guessed best match",Other
Winterbock,German Doppelbock,83.0,Flensburger,7.0,http://www.beeradvocate.com/search/?q=Flensburger+Winterbock&qt=beer,,Other
Hawaii Five Ale,Fruit and Field Beer,83.0,Destihl Brewery,6.4,https://www.beeradvocate.com/beer/profile/36757/104748/,"multiple results, guessed best match",Other
Flensburger Dunkel,Munich Dunkel Lager,83.0,Flensburger Brauerei,4.8,http://www.beeradvocate.com/search/?q=Flensburger+Dunkel&qt=beer,,Lager
Leffe Blonde,Belgian Blonde Ale ,82.0,Abbaye De Leffe,6.6,https://www.beeradvocate.com/beer/profile/470/2137/,"multiple results, guessed best match",Ale
Traquair Ale,Scottish Ale,82.0,,5.0,https://www.beeradvocate.com/beer/profile/24/4304/,"multiple results, guessed best match",Ale
Taybeh Dark,German Bock,82.0,Taybeh Brewing Company,6.0,http://www.beeradvocate.com/search/?q=Taybeh+Dark&qt=beer,,Other
Hoosac Tunnel,American Amber / Red Ale,82.0,Berkshire Brewing Company,6.3,http://www.beeradvocate.com/search/?q=Hoosac+Tunnel&qt=beer,,Ale
Pilsner Urquell,Bohemian Pilsener,82.0,Plzensky Prazdroj,4.4,https://www.beeradvocate.com/beer/profile/1/429/,"multiple results, guessed best match",Other
1664 Blanc,Belgian Witbier,82.0,Brasseries Kronenbourg,5.0,https://www.beeradvocate.com/beer/profile/1498/25625/,"multiple results, guessed best match",Other
Fly Jack,American IPA,82.0,Firestone Walker Brewing Company,4.0,https://www.beeradvocate.com/beer/profile/2210/455479/,"multiple results, guessed best match",IPA
Summer Session,American Pale Wheat Ale,82.0,Peak Organic Brewing Company,4.4,https://www.beeradvocate.com/beer/profile/13884/58999/,"multiple results, guessed best match",Ale
Fat Tire,American Amber / Red Ale,82.0,New Belgium Brewing Company,5.2,https://www.beeradvocate.com/beer/profile/192/607/,"multiple results, guessed best match",Ale
Dunkel Lager,Munich Dunkel Lager,82.0,Von Trapp Brewing,5.3,https://www.beeradvocate.com/beer/profile/1853/34017/,"multiple results, guessed best match",Lager
Flensburger Pils,German Pilsner,81.0,Flensburger Brauerei,4.8,https://www.beeradvocate.com/beer/profile/2854/6710/,"multiple results, guessed best match",Other
Scottish Ale,Scottish Ale,81.0,Belhaven Brewery,4.2,https://www.beeradvocate.com/beer/profile/148/22386/,"multiple results, guessed best match",Ale
Stiegl Pils,German Pilsner,81.0,Salzburger Stiegl,4.9,https://www.beeradvocate.com/beer/profile/817/43252/,"multiple results, guessed best match",Other
Banana Bread Beer,Fruit and Field Beer,81.0,Eagle Brewery,5.2,https://www.beeradvocate.com/beer/profile/664/5488/,"multiple results, guessed best match",Other
Farmer Brown,English Brown Ale,81.0,The People\'s Pint,5.4,https://www.beeradvocate.com/beer/profile/231/12633/,"multiple results, guessed best match",Ale
Pineapple Mana,American Pale Wheat Ale,81.0,Maui Brewing Company,5.5,http://www.beeradvocate.com/search/?q=Pineapple+Mana&qt=beer,,Ale
Big Wave Golden Ale,American Blonde Ale,81.0,Kona Brewing Company,4.4,http://www.beeradvocate.com/search/?q=Big+Wave+Golden+Ale&qt=beer,,Ale
Bar Harbor Real Ale,English Brown Ale,81.0,Atlantic Brewing Company,5.2,https://www.beeradvocate.com/beer/profile/378/1052/,"multiple results, guessed best match",Ale
Blood Orange Wheat,Fruit and Field Beer,80.0,Jack\'s Abby Craft Lagers,4.0,https://www.beeradvocate.com/beer/profile/26520/334128/,"multiple results, guessed best match",Other
Pesky Pils,German Pilsner,80.0,Ipswich Ale Brewery,4.6,http://www.beeradvocate.com/search/?q=Pesky+Pils&qt=beer,,Other
Flensburger Gold,European Export / Dortmunder,80.0,Flensburger,4.8,http://www.beeradvocate.com/search/?q=Flensburger+Gold&qt=beer,,Other
Helles Lager,German Helles,80.0,Tributary Brewing Company,5.4,https://www.beeradvocate.com/beer/profile/4067/44831/,"multiple results, guessed best match",Other
Hay-z-boy,American Pale Wheat Ale,80.0,Two Roads Brewing Company,4.5,https://www.beeradvocate.com/beer/profile/33113/107318/,"multiple results, guessed best match",Ale
Hefeweizen,German Hefeweizen,80.0,Queen City Brewery,4.7,https://www.beeradvocate.com/beer/profile/68/2249/,"multiple results, guessed best match",Other
Summerfest Lager,American Amber / Red Lager,79.0,Sierra Nevada Brewing Company,?,https://www.beeradvocate.com/beer/profile/835/31331/,"multiple results, guessed best match",Lager
Hoperation,American IPA,79.0,Fort Hill Brewery,7.25,https://www.beeradvocate.com/beer/profile/29509/104486/,"multiple results, guessed best match",IPA
Bad Elf,English Strong Ale,79.0,Ridgeway Brewing,9.0,https://www.beeradvocate.com/beer/profile/7944/26887/,"multiple results, guessed best match",Ale
Original Premium,Bohemian Pilsener,79.0,Brauerei Weihenstephan,5.3,https://www.beeradvocate.com/beer/profile/4108/10104/,"multiple results, guessed best match",Other
Sierra Pale Ale,American Pale Ale (APA),79.0,Sierra Nevada Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/3239/12284/,"multiple results, guessed best match",Ale
Pilsner Style,German Pilsner,79.0,Wurzburger Hofbrau,4.9,https://www.beeradvocate.com/beer/profile/28795/80460/,"multiple results, guessed best match",Other
Nite Lite,American Light Lager,79.0,Night Shift Brewing Company,4.3,https://www.beeradvocate.com/beer/profile/28609/244582/,"multiple results, guessed best match",Lager
Sassamanash,Belgian Witbier,79.0,Burlington Beer Company,4.8,https://www.beeradvocate.com/beer/profile/30791/148244/,"multiple results, guessed best match",Other
Esb,English Extra Special / Strong Bitter (ESB),78.0,Fuller\'s Brewery,5.8,https://www.beeradvocate.com/beer/profile/50687/1119/,"multiple results, guessed best match",Other
Sankaty Light,American Light Lager,78.0,Cisco Brewers,3.8,http://www.beeradvocate.com/search/?q=Sankaty+Light&qt=beer,,Lager
Bass Ale,English Pale Ale,77.0,Bass Brewers Limited,5.1,https://www.beeradvocate.com/beer/profile/293/811/,"multiple results, guessed best match",Ale
Los Locos,American Adjunct Lager,76.0,Epic Brewing Company,4.8,http://www.beeradvocate.com/search/?q=Los+Locos&qt=beer,,Lager
Purple Haze,Fruit and Field Beer,76.0,Abita Brewing Company,4.2,https://www.beeradvocate.com/beer/profile/3/7/,"multiple results, guessed best match",Other
Taybeh Golden,German Pilsner,76.0,Taybeh Brewing Company,5.0,http://www.beeradvocate.com/search/?q=Taybeh+Golden&qt=beer,,Other
Stiegl Lager,European Pale Lager,74.0,Stiegl Brauerei,5.0,http://www.beeradvocate.com/search/?q=Stiegl+Lager&qt=beer,,Lager
Kronenbourg 1664,European Pale Lager,74.0,Brasseries Kronenbourg,5.5,https://www.beeradvocate.com/beer/profile/1498/3970/,"multiple results, guessed best match",Lager
Wicked Bueno,American Adjunct Lager,73.0,Banded Brewing,4.3,http://www.beeradvocate.com/search/?q=Wicked+Bueno&qt=beer,,Lager
Shark Tracker Light,American Light Lager,73.0,Cisco Brewers,4.8,http://www.beeradvocate.com/search/?q=Shark+Tracker+Light&qt=beer,,Lager
Cream Ale,American Cream Ale,71.0,Newburgh Brewery Company,5.1,https://www.beeradvocate.com/beer/profile/302/1376/,"multiple results, guessed best match",Ale
Hoegaarden,Belgian Witbier,71.0,Brouwerij Van Hoegarden,4.5,https://www.beeradvocate.com/beer/profile/83/36649/,"multiple results, guessed best match",Other
Carlsberg Lager,European Pale Lager,65.0,Carlsberg Breweries,3.8,https://www.beeradvocate.com/beer/profile/8535/64973/,"multiple results, guessed best match",Lager
Freshie Salt & Pepper,?,,Nomad Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Lemon Radler,Fruit and Field Beer,,Stiegl Brauerei,3.1,https://www.beeradvocate.com/beer/profile/416/169360/,No score yet,Other
Radler Raspberry,Fruit and Field Beer,,Stiegl Brauerei,2.0,https://www.beeradvocate.com/beer/profile/887/286265/,No score yet,Other
Pauwel Kwak,?,,Bosteels,?,none,couldn't find BeerAdvocate page,Other
La Moneuse Noel,?,,Brasserie De Blaugies,?,none,couldn't find BeerAdvocate page,Other
Achel Blonde,?,,Brouwerij Achelse,?,none,couldn't find BeerAdvocate page,Other
Vanderghiste,?,,Brouwerij Bockor,?,none,couldn't find BeerAdvocate page,Other
Boon Oude Gueze,?,,Brouwerij Boon,?,none,couldn't find BeerAdvocate page,Other
La Trappe Dubbel,Belgian Dubbel,,Brouwerij De Koningshoeven,8.0,https://www.beeradvocate.com/beer/profile/184/352322/,No score yet,Other
Westmalle Tripel,?,,Brouwerij Der Trappisten Westmalle,?,none,couldn't find BeerAdvocate page,Other
Lindemans Cassis,?,,Brouwerij Lindemans,?,none,couldn't find BeerAdvocate page,Other
Bzart Krieken Lambiek,?,,Brouwerij Oud Beersel,?,none,couldn't find BeerAdvocate page,Other
Alexander '18,?,,Brouwerij Rodenbach,?,none,couldn't find BeerAdvocate page,Other
Rodenbach Session Ale,?,,Brouwerij Rodenbach,?,none,couldn't find BeerAdvocate page,Other
St Louis Gueuze Fond,?,,Brouwerij Van Honsebrouck,?,none,couldn't find BeerAdvocate page,Other
Monk's Cafe Brune,?,,Brouwerij Van Steenberge,?,none,couldn't find BeerAdvocate page,Other
Chimay Premiere,?,,Chimay Brewery,?,none,couldn't find BeerAdvocate page,Other
Chimay Premiere Red,?,,Chimay Brewery,?,none,couldn't find BeerAdvocate page,Other
Chimay Yellow,?,,Chimay Brewery,?,none,couldn't find BeerAdvocate page,Other
Mcchouffe,?,,Chouffe,?,none,couldn't find BeerAdvocate page,Other
Rio Reserva 2012,?,,De Struise Brouwers,?,none,couldn't find BeerAdvocate page,Other
Barista Chocolate Quad- 330ml,?,,Kasteel,?,none,couldn't find BeerAdvocate page,Other
Oude Gueze: Foeder 21,?,,Oud Beersel,?,none,couldn't find BeerAdvocate page,Other
Biere De Foudre,American Wild Ale,,Brasserie Dunham,4.9,https://www.beeradvocate.com/beer/profile/13905/347745/,No score yet,Ale
Simplexite,?,,Brasserie Dunham,?,none,couldn't find BeerAdvocate page,Other
Mango Tangerine Sour,American Wild Ale,,Collective Arts Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/32763/472837/,No score yet,Ale
Ransack The Universe,?,,Collective Arts Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Ceci N'est Pas Gueuze,?,,Les Trois Mousquetaires,?,none,couldn't find BeerAdvocate page,Other
Czechvar Lager,European Dark Lager,,Budejovicky Budvar,4.7,https://www.beeradvocate.com/beer/profile/304/460060/,No score yet,Lager
Young's Double Chocolate Stout,?,,Eagle Brewery,?,none,couldn't find BeerAdvocate page,Other
Fuller's London Porter,?,,Fuller\'s Brewery,?,none,couldn't find BeerAdvocate page,Other
Wexford Cream,?,,Greene King,?,none,couldn't find BeerAdvocate page,Other
Oxfordshire Ipa,?,,Ridgeway Brewing,?,none,couldn't find BeerAdvocate page,Other
Sam Smith India Ale,?,,Samuel Smith Old Brewery,?,none,couldn't find BeerAdvocate page,Other
Edelstoff Lager,?,,Augustiner Brau,?,none,couldn't find BeerAdvocate page,Other
Tannenzapfle,?,,Badische Staatsbrauerie Rothaus,?,none,couldn't find BeerAdvocate page,Other
Bitburger Pils,?,,Bitburger Brauerei,?,none,couldn't find BeerAdvocate page,Other
Ayinger Bavarian Pils,?,,Brauerei Ayinger,?,none,couldn't find BeerAdvocate page,Other
Schlenkerla Maerzn,?,,Brauerei Heller-trum,?,none,couldn't find BeerAdvocate page,Other
Schlenkerla Oak Smoke,?,,Brauerei Heller-trum,?,none,couldn't find BeerAdvocate page,Other
Schlenkerla Urbock,?,,Brauerei Heller-trum,?,none,couldn't find BeerAdvocate page,Other
Schlenkerla Weizen,?,,Brauerei Heller-trum,?,none,couldn't find BeerAdvocate page,Other
Organic Ur-pils,?,,Brauerei Pinkus Mueller,?,none,couldn't find BeerAdvocate page,Other
Kristall Weissbier,German Kristalweizen,,Brauerei Weihenstephan,5.0,https://www.beeradvocate.com/beer/profile/39742/296665/,No score yet,Other
Fruchtig & Stark,?,,Brauhaus Riegele,?,none,couldn't find BeerAdvocate page,Other
Fruh Kolsch,German K\xc3\xb6lsch,,Colner Hofbrau Bruh,6.5,https://www.beeradvocate.com/beer/profile/612/50692/,No score yet,Other
Dab Original,?,,Dortmunder Actien Brauerei,?,none,couldn't find BeerAdvocate page,Other
Curator Doppelbock,German Doppelbock,,Ettaler Klosterbrauerei,7.0,https://www.beeradvocate.com/beer/profile/2432/195684/,No score yet,Other
Aventinus Tap 6,German Weizenbock,,G. Schneider & Sohn,8.2,https://www.beeradvocate.com/beer/profile/72/451809/,No score yet,Other
Vollbier Hell,German Helles,,Klosterbrauerei Andechs,5.0,https://www.beeradvocate.com/beer/profile/15368/50314/,No score yet,Other
Weissbier Hell,German Kristalweizen,,Klosterbrauerei Andechs,5.3,https://www.beeradvocate.com/beer/profile/5709/150695/,No score yet,Other
Monchshof Schwarz,?,,Kulmbacher Brauerei,?,none,couldn't find BeerAdvocate page,Other
1809 Berliner Weisse,?,,Professor Fritz Briem,?,none,couldn't find BeerAdvocate page,Other
Original (tap07),?,,Schneider & Sohn,?,none,couldn't find BeerAdvocate page,Other
Grapefruit Hefeweizen-16oz Can,?,,Schofferhofer,?,none,couldn't find BeerAdvocate page,Other
Spaten Premium Lager,?,,Spaten-brau,?,none,couldn't find BeerAdvocate page,Other
Uerige Dat Leckere,?,,Uerige,?,none,couldn't find BeerAdvocate page,Other
Julius Echter,German Kristalweizen,,Wurzburger Hofbrau,4.9,https://www.beeradvocate.com/beer/profile/176/42119/,No score yet,Other
Julius Echter Dunkel,?,,Wurzburger Hofbrau,?,none,couldn't find BeerAdvocate page,Other
O'hara's Irish Red,?,,Carlow Brewing Company,?,none,couldn't find BeerAdvocate page,Other
O'hara's Irish Stout,?,,Carlow Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Over The Moon,?,,Open Gate Brewery,?,none,couldn't find BeerAdvocate page,Other
Guinness Pub,?,,St. James\' Gate Brewery,?,none,couldn't find BeerAdvocate page,Other
Xyauyu Oro,?,,Birrifico Le Baladin,?,none,couldn't find BeerAdvocate page,Other
Hitachino Commemorative -330ml,?,,Kiuchi Brewery,?,none,couldn't find BeerAdvocate page,Other
Hitachino Sweet Stout,?,,Kiuchi Brewery,?,none,couldn't find BeerAdvocate page,Other
A Dashing Rogue,Flanders Oud Bruin,,Haandbryggeriet,6.8,http://www.beeradvocate.com/search/?q=A+Dashing+Rogue&qt=beer,No score yet,Other
Odin's Tipple,?,,Haandbryggeriet,?,none,couldn't find BeerAdvocate page,Other
Gose Limón Kaffir,?,,Casa Bruja Brewing Company,?,none,couldn't find BeerAdvocate page,Other
O.K. Full Pale,?,,Okocim Brewery,?,none,couldn't find BeerAdvocate page,Other
1881 Porter Beer,?,,Zywiec Breweries,?,none,couldn't find BeerAdvocate page,Other
Blood Red Sky,American Wild Ale,,Innis & Gunn,2.5,https://www.beeradvocate.com/beer/profile/34618/187165/,No score yet,Ale
Crabbie's Ginger Beer,?,,John Crabbie & Company,?,none,couldn't find BeerAdvocate page,Other
Orange Ginger,Fruit and Field Beer,,John Crabbies & Co,5.2,https://www.beeradvocate.com/beer/profile/860/97897/,No score yet,Other
Mcewan's Scotch Ale,?,,Marston\'s Brewery,?,none,couldn't find BeerAdvocate page,Other
Jacobite Ale,?,,Traquair House Brewery,?,none,couldn't find BeerAdvocate page,Other
Estrella Damm Lager,?,,Estrella Damm,?,none,couldn't find BeerAdvocate page,Other
Picnic Sunrise,Berliner Weisse,,Brekeriet Beer Ab,2.7,http://www.beeradvocate.com/search/?q=Picnic+Sunrise&qt=beer,No score yet,Sour
Brut De Franches,?,,Brasserie Bfm,?,none,couldn't find BeerAdvocate page,Other
Hell Or High W'melon -12oz Can,?,,21st Amendment Brewery,?,none,couldn't find BeerAdvocate page,Other
Sculpin Ipa,?,,Ballast Point Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Factory 5 Lab: Mango Lassi,?,,Bear Republic Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Further Thru The Haze,?,,Bear Republic Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Broken Skull Ipa,?,,El Segundo Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Bwx/omg!,?,,Firestone Walker Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Parabola Stout,?,,Firestone Walker Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Laguintas Ipa,?,,Lagunitas Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Laguintas Pils,?,,Lagunitas Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Little Sumpin' Hazy,?,,Lagunitas Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Milk The Mustache,?,,Long Beach Beer Lab,?,none,couldn't find BeerAdvocate page,Other
Hazy Little Thing Ipa,?,,Sierra Nevada Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Sierra Estate,American Blonde Ale,,Sierra Nevada Brewing Company,7.1,https://www.beeradvocate.com/beer/profile/140/257905/,No score yet,Ale
Torpedo,English Bitter,,Sierra Nevada Brewing Company,4.5,https://www.beeradvocate.com/beer/profile/27945/96610/,No score yet,Other
Ten Commandments,?,,The Lost Abbey,?,none,couldn't find BeerAdvocate page,Other
Ellie's Brown Ale,?,,Avery Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Bianca Peaches & Cream,?,,Crooked Stave Artisan Beer Project,?,none,couldn't find BeerAdvocate page,Other
St. Bretta Saison,?,,Crooked Stave Artisan Beer Project,?,none,couldn't find BeerAdvocate page,Other
Sunnyside Of Bruxelles,Flanders Red Ale,,Crooked Stave Artisan Beer Project,6.7,http://www.beeradvocate.com/search/?q=Sunnyside+Of+Bruxelles&qt=beer,No score yet,Ale
Surette Blueberry,?,,Crooked Stave Artisan Beer Project,?,none,couldn't find BeerAdvocate page,Other
Peach Beerllini,Berliner Weisse,,Left Hand Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/29220/291680/,No score yet,Sour
Foeder Oscar No. 65,?,,New Belgium Brewing Company,?,none,couldn't find BeerAdvocate page,Other
My Nirvana,English Pale Ale,,New Belgium Brewing Company,4.2,https://www.beeradvocate.com/beer/profile/2076/232926/,No score yet,Ale
Starship Ipa,?,,New Belgium Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Where I Live,?,,New Belgium Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Whiskey Ba Oskar,American Pale Ale (APA),,New Belgium Brewing Company,?,https://www.beeradvocate.com/beer/profile/2681/56025/,No score yet,Ale
Dale's Pale Ale,?,,Oskar Blues Brewery,?,none,couldn't find BeerAdvocate page,Other
Outer Range All Together,?,,Outer Range Brewing Company,?,none,couldn't find BeerAdvocate page,Other
The Future Is Full Of Parties,?,,Outer Range Brewing Company,?,none,couldn't find BeerAdvocate page,Other
This Day Anything Gose,?,,Trve Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Cookies & Cream Achromatic,?,,Weldwerks Brewing Company,?,none,couldn't find BeerAdvocate page,Other
All My Best Friends Hop Heads,?,,Armada Brewing,?,none,couldn't find BeerAdvocate page,Other
Immortal Prince,American Imperial IPA,,Armada Brewing,10.0,http://www.beeradvocate.com/search/?q=Immortal+Prince&qt=beer,No score yet,IPA
Copper Scrolls,?,,Armada Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Connecticut Casual,German Pilsner,,Beer\'d Brewing Company,5.1,http://www.beeradvocate.com/search/?q=Connecticut+Casual&qt=beer,No score yet,Other
Karate In The Water,?,,Beer\'d Brewing Company,?,none,couldn't find BeerAdvocate page,Other
East Rock Lager,German Helles,,East Rock Brewing Company,5.2,https://www.beeradvocate.com/beer/profile/52202/387488/,No score yet,Other
East Rock Pilsner,?,,East Rock Brewing Company,?,none,couldn't find BeerAdvocate page,Other
Power People,American IPA,,Kent Falls Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/44293/354618/,No score yet,IPA
Scarcely More Articulate,Belgian Saison,,Kent Falls Brewing Company,5.6,http://www.beeradvocate.com/search/?q=Scarcely+More+Articulate&qt=beer,No score yet,Other
